Identifier	Sample	Amount	Cycles	Cycles Category	amountFac
1	0_17	0	17	LOW	NC
2	0_19	0	19	MID	NC
3	0_21	0	21	HIGH	NC
13	1_16	1	16	LOW	1
14	1_18	1	18	MID	1
15	1_20	1	20	HIGH	1
19	2_15	2	15	LOW	2
20	2_17	2	17	MID	2
21	2_19	2	19	HIGH	2
25	4_14	4	14	LOW	4
26	4_16	4	16	MID	4
27	4_18	4	18	HIGH	4
34	7_13	7	13	LOW	7
35	7_15	7	15	MID	7
36	7_17	7	17	HIGH	7
10	15_12	15	12	LOW	15
11	15_14	15	14	MID	15
12	15_16	15	16	HIGH	15
22	31_11	31	11	LOW	31
23	31_13	31	13	MID	31
24	31_15	31	15	HIGH	31
31	62_10	62	10	LOW	62
32	62_12	62	12	MID	62
33	62_14	62	14	HIGH	62
9	125_9	125	9	LOW	125
7	125_11	125	11	MID	125
8	125_13	125	13	HIGH	125
18	250_8	250	8	LOW	250
16	250_10	250	10	MID	250
17	250_12	250	12	HIGH	250
29	500_7	500	7	LOW	500
30	500_9	500	9	MID	500
28	500_11	500	11	HIGH	500
5	1000_6	1000	6	LOW	1000
6	1000_8	1000	8	MID	1000
4	1000_10	1000	10	HIGH	1000
